11 Name,Mass,Radius,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ
Earth (399),6.05E+024,6378,-25500645.78,144762248.2,-4697.270256,-29.83135937,-5.196144956,0.000454779
Mars (499),6.42E+023,3396,-178429156.4,171886530.2,7974849.845,-15.92076786,-15.36091532,0.069263848
Mercury (199),3.3E+023,2439.5,-57219841.2,-29257259.05,2831344.247,12.171929,-41.23950356,-4.485132786
Venus (299),4.87E+024,6052,107877234.7,4987630.484,-6183002.801,-1.810746045,34.81379847,0.581871502
Jupiter (599),1.9E+027,71492,561384412.2,487121582.7,-14597357.29,-8.718843561,10.49329667,0.151525775
Moon (301),7.35E+022,1737.1,-25102634.43,144810641.9,29151.36534,-29.91817015,-4.229700995,-0.031978179
Europa (502),4.8E+022,1560.8,561132948.9,486506531,-14625678.41,4.099911732,5.21262961,0.045519782
Ganymede (503),1.48E+023,2634.1,561965323.6,488019714.4,-14556194.61,-17.84753636,16.41329062,0.257716057
Io (501),8.93E+022,1821.6,561392573.3,487541704.8,-14581932.34,-26.10270074,10.88850737,-0.07893454
Callisto (504),1.08E+023,2410.3,562137383.6,485402411.9,-14642186.22,-1.206777295,13.83945624,0.358797412
Sun (10),1.99E+030,695700,-484975.4284,-199182.2599,-126.217908,0.007394389,-0.008048693,-0.000146648
